timestamp,download_mbps,upload_mbps,ping_ms,jitter_ms,packet_loss_pct,server_id,server_name,server_location,server_country,result_url
2026-05-27T11:09:33.381705,365.25,41.59,24.714,1.06,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/a0830262-a7a1-46da-837b-17a2bb429651
2026-05-27T11:24:26.922278,178.04,40.09,21.618,1.632,0,40986,Internet 3.14,"Reedley, CA",United States,https://www.speedtest.net/result/c/00feb127-65e9-41d3-ad08-366a4b0f84f2
2026-05-27T11:39:26.552495,925.63,40.98,14.653,0.829,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/dc6b9ee1-6aea-4daf-85f6-e3874951140a
2026-05-27T11:54:27.901262,926.8,40.25,20.981,1.113,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/aac07125-020f-4763-963b-c5873dcaf69f
2026-05-27T12:09:41.504144,344.0,39.03,19.667,2.878,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/5cbf7172-72ec-495e-848a-f179095c759b
2026-05-27T12:24:31.194199,169.92,37.04,22.555,3.972,0,40986,Internet 3.14,"Reedley, CA",United States,https://www.speedtest.net/result/c/b1339471-bfef-48bf-bed7-967ff181bbfa
2026-05-27T12:39:35.028941,928.99,39.38,19.699,0.226,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/7925ef5c-def8-467c-b42a-c28c2e88d648
2026-05-27T12:54:38.464393,331.79,41.16,24.992,3.231,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/f16d2065-0b8e-4843-bd02-ea81d33f68fa
2026-05-27T13:09:34.754727,913.39,40.17,20.168,1.768,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/744d8db3-014b-46fd-b339-ffd521fb2af9
2026-05-27T13:24:45.269279,921.38,23.24,23.899,1.345,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/bbd17a0a-f5a8-4afd-b40c-b3dae8c2db8a
2026-05-27T13:39:33.976440,339.37,41.03,29.327,2.991,0,47256,"Surfnet Communications, Inc","San Luis Obispo, CA",United States,https://www.speedtest.net/result/c/69f1391d-d0c1-4c7f-89a0-3c49b7fe1856
2026-05-27T13:54:34.309944,926.5,38.23,15.788,2.917,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/d2ecdcde-177d-439d-8008-6cb714d535f1
2026-05-27T14:09:32.688215,923.19,39.78,16.451,1.236,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/a08c0e32-e429-4205-a2eb-5decbfac3d65
2026-05-27T14:24:35.255613,928.95,41.03,22.078,1.319,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/3341ed85-d09b-4c3c-804e-afa6d45e202b
2026-05-27T14:39:35.377473,913.07,37.74,14.309,2.349,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/5755ed1e-9191-402a-9080-45836f378c9e
2026-05-27T14:54:45.703513,917.82,23.74,19.415,5.988,,73169,Comcast,"Santa Clara, CA",United States,https://www.speedtest.net/result/c/905e98a1-f946-4195-a4f5-153f87fb6268
